CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1815	3150	28	0.9693	72.057
2023	3150	28	1.0	-0.000
388	3150	28	0.9611	0.000
626	3150	28	0.9674	84.094
682	3150	28	0.965	70.078
1	415	28	0.9478	0.000
96	415	28	0.9469	28.033
308	415	28	1.0	-0.000
415	480	28	0.9374	9.984
415	1359	28	0.932	54.046
415	1556	28	0.932	54.046
415	2447	28	0.9573	-7.969
415	3209	28	0.9469	-28.033
1740	1815	28	0.962	-15.995
1815	2023	28	0.9693	72.057
1815	2061	28	0.956	-19.969
1815	3407	28	0.9651	10.042
258	1815	28	0.9595	38.052
626	1815	28	0.9654	12.037
1	308	28	0.9478	0.000
96	308	28	0.9469	28.033
308	480	28	0.9374	9.984
308	1359	28	0.932	54.046
308	1556	28	0.932	54.046
308	2447	28	0.9573	-7.969
308	3209	28	0.9469	-28.033
258	682	28	0.9476	40.032
626	682	28	0.9501	14.016
682	2023	28	0.965	70.078
682	2061	28	0.9478	-21.948
682	3407	28	0.958	8.063
1903	2059	28	0.9567	28.031
1903	2454	28	0.9271	28.031
1903	2538	28	0.9261	-0.000
1903	2709	28	0.9486	14.016
1903	2722	28	0.9621	28.031
2538	2722	28	0.9265	28.031
2059	2538	28	0.925	-28.031
1359	1556	28	1.0	0.000
1445	1556	28	0.9353	80.026
1556	1740	28	0.9397	-46.042
201	1556	28	0.9569	82.078
722	1556	28	0.9558	56.062
739	1556	28	0.9589	25.979
1032	1556	28	0.9403	58.078
258	626	28	0.9625	26.016
258	738	28	0.9489	54.084
258	2061	28	0.9582	18.084
258	3407	28	0.9599	48.094
2613	3305	28	0.9615	-2.014
2746	3305	28	0.9826	-14.014
1361	3305	28	0.9335	12.001
1621	3305	28	0.9545	63.996
738	1745	28	0.9421	-105.021
3247	3407	28	0.9604	-62.015
2023	3407	28	0.9773	-62.016
2061	3407	28	0.9639	30.010
626	3407	28	0.9646	22.078
2454	2709	28	0.9338	-14.016
2454	2722	28	0.9239	-0.000
2447	3209	28	0.9465	-20.064
1621	2447	28	0.9442	18.011
2085	2447	28	0.9594	18.047
1	2447	28	0.9395	-7.969
96	2447	28	0.9465	20.064
739	2447	28	0.9593	-36.036
96	2085	28	0.9474	2.017
96	3209	28	1.0	-0.000
480	1434	28	0.9387	2.016
696	1434	28	0.9254	14.016
201	722	28	0.958	26.016
722	739	28	0.9667	30.084
722	1032	28	0.9535	-2.016
722	1359	28	0.9558	56.062
722	1445	28	0.9532	-23.964
722	1621	28	0.9562	-23.964
722	1740	28	0.9592	10.021
722	2085	28	0.9585	-24.000
738	2061	28	0.9453	-36.000
2023	3247	28	0.9727	-0.000
388	3247	28	0.9637	0.000
626	2061	28	0.9513	-7.932
201	739	28	0.959	56.099
201	1032	28	0.95	24.000
201	1359	28	0.9569	82.078
201	1445	28	0.9409	2.052
201	1740	28	0.953	36.036
201	2085	28	0.948	2.016
626	1032	28	0.9488	15.995
626	2023	28	0.9674	84.094
1445	1621	28	0.947	0.000
1621	2085	28	0.9561	-0.036
1621	2746	28	0.9479	78.010
739	1032	28	0.9513	-32.099
739	1359	28	0.9589	25.979
739	1445	28	0.9494	-54.047
739	1740	28	0.9572	-20.063
739	2085	28	0.9549	-54.083
388	2023	28	0.9611	0.001
2613	2746	28	0.9677	12.000
2709	2746	28	0.9313	15.995
480	696	28	0.9433	-11.999
1359	1445	28	0.9353	-80.026
1445	1740	28	0.9502	33.984
1445	2520	28	0.9495	-39.011
1032	1445	28	0.9418	-21.948
480	1032	28	0.9454	-14.016
480	1740	28	0.9447	-1.979
2709	2722	28	0.9604	14.015
2709	2752	28	0.9299	-117.022
2059	2709	28	0.9624	-14.016
1740	2085	28	0.9527	-34.020
2085	3209	28	0.9474	-2.017
2059	2722	28	0.976	-0.000
1361	2613	28	0.9357	14.015
1359	1740	28	0.9397	-46.042
1032	1359	28	0.9403	58.078
2520	2752	28	0.9451	-15.995
1032	1740	28	0.9499	12.036
14	707	29	0.8256	14.015
14	943	29	0.7758	45.057
14	2342	29	0.9018	-0.001
14	2422	29	0.747	28.030
707	943	29	0.8646	31.042
707	951	29	0.7826	-118.026
707	2342	29	0.8723	-14.016
707	2422	29	0.8568	14.015
1887	2342	29	0.7797	-28.031
1887	2677	29	1.0	-0.000
111	943	29	0.7594	163.084
943	951	29	0.8601	-149.068
943	2342	29	0.8025	-45.057
943	2422	29	0.9451	-17.027
2342	2677	29	0.7797	28.031
111	951	29	0.853	14.016
111	2422	29	0.8224	146.057
2342	2422	29	0.7648	28.031
951	2422	29	0.8769	132.041
951	2342	29	0.714	104.011
595	2371	30	0.7344	14.015
100	1063	31	0.7744	-28.032
198	1993	33	0.7126	29.975
2598	2920	33	0.7955	23.998
2784	2920	33	0.8684	-2.016
2894	2920	33	0.7401	23.997
2920	3416	33	0.7813	-21.984
1682	2920	33	0.84	0.001
1993	2920	33	0.8183	-0.001
2208	2920	33	0.7437	-2.015
2289	2920	33	0.84	0.002
299	2920	33	0.7444	23.999
2510	3412	33	0.9094	-2.015
2598	3412	33	0.7396	262.228
2432	2894	33	0.7195	2.019
2598	2894	33	0.8131	0.001
2894	3416	33	0.7263	2.013
1489	2894	33	0.7449	0.003
1993	2894	33	0.7018	-23.998
299	2894	33	0.76	0.002
1489	2432	33	0.7107	-2.016
1489	2598	33	0.8172	0.002
1489	2784	33	0.7452	26.016
1489	3416	33	0.7167	2.016
299	1489	33	0.7906	-0.001
1993	2208	33	0.724	2.014
1993	2784	33	0.7496	2.015
1993	3416	33	0.7027	-21.985
2576	3481	33	1.0	0.000
1449	3481	33	0.7916	28.033
299	2432	33	0.7002	-2.017
299	2510	33	0.7202	264.243
299	2598	33	0.8192	0.000
299	2784	33	0.7846	26.014
299	3416	33	0.7205	2.014
2598	3416	33	0.8121	2.014
2784	3416	33	0.7824	-24.000
1449	2576	33	0.7916	28.032
1449	2784	33	0.7522	-24.946
2432	2784	33	0.7515	28.031
2598	2784	33	0.8267	26.014
1682	2512	33	0.9487	-0.002
2289	2512	33	0.9487	-0.001
2598	3081	33	0.7313	2.015
1682	2289	33	1.0	-0.001
2432	2598	33	0.7395	2.017
2510	2598	33	0.7482	-264.242
586	670	34	0.8704	-0.000
670	1131	34	0.8666	0.000
670	1737	34	0.8452	0.000
670	1747	34	0.8719	0.000
483	941	34	0.8114	14.016
556	941	34	0.8033	14.076
941	3050	34	0.7995	-14.112
1722	2138	34	0.8173	-0.052
1849	2138	34	0.9513	-0.024
2138	3050	34	0.793	-0.000
483	2138	34	0.7872	-0.096
592	2138	34	0.8754	-0.096
586	1747	34	0.8142	-0.000
1131	1747	34	0.8994	-0.000
586	1737	34	0.8308	-0.000
1722	1849	34	0.8188	-0.028
1722	3050	34	0.8704	-0.052
483	1722	34	0.8856	-0.044
556	1722	34	0.8707	0.015
1443	2879	34	0.8764	-0.071
592	2879	34	0.8317	-0.071
1443	3151	34	0.819	-75.055
1131	3050	34	0.827	-72.058
483	556	34	0.9819	-0.060
556	3050	34	0.9815	-0.036
483	3050	34	0.9838	-0.096
652	3050	34	0.8322	42.005
483	652	34	0.8135	-42.101
592	1849	34	0.8935	-0.072
2718	3322	36	0.8464	0.000
1622	2718	36	0.9473	0.000
113	1303	36	0.8698	-0.000
113	3322	36	0.836	57.058
1622	3322	36	0.9141	0.000
1303	3322	36	0.8639	57.058
1958	2528	37	0.8735	0.001
69	2528	37	1.0	-0.001
523	2528	37	0.858	28.032
552	2528	37	0.793	-28.031
69	523	37	0.858	-28.033
523	552	37	0.7316	56.063
523	1088	37	0.7052	26.091
523	1958	37	0.8512	28.032
69	552	37	0.793	28.030
69	1958	37	0.8735	-0.001
552	1958	37	0.7876	-28.031
1217	3192	41	0.9348	54.048
1308	3192	41	0.9412	72.058
1217	1308	41	0.9379	-18.010
624	1217	41	0.9509	30.047
1235	2196	41	0.9585	0.047
1308	3345	41	0.9392	52.089
178	1308	41	0.9406	-22.081
624	1308	41	0.9404	12.037
715	1308	41	0.9532	-12.036
2453	3286	41	0.9715	-10.021
2758	3286	41	0.9831	50.001
3035	3286	41	0.9842	15.995
1650	3286	41	0.9551	15.995
1770	3286	41	0.9622	31.990
1899	3286	41	0.9636	20.063
946	3286	41	0.9508	0.000
984	3286	41	0.9593	-14.016
