CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1200	2064	13	0.9133	0.000
1483	2064	13	0.8366	-72.058
2064	3743	13	0.9015	44.026
683	2064	13	0.8971	-88.053
972	2064	13	0.9015	-44.027
935	3556	13	0.7766	-88.052
1049	3556	13	0.8236	44.026
935	1103	13	0.7578	88.052
4161	4220	13	0.7906	-1.000
424	4161	13	0.8512	-198.980
1235	4123	13	0.7315	549.460
4123	4324	13	0.7423	-149.106
1049	4123	13	0.7002	56.077
284	2384	13	0.8465	-132.022
683	2384	13	0.852	196.275
1105	1200	13	0.867	-152.193
1105	1483	13	0.8508	-80.135
1105	3743	13	0.8705	-108.167
284	1105	13	0.8633	-264.157
424	1105	13	0.877	-237.157
972	1105	13	0.8705	108.166
1200	1483	13	0.862	72.058
1483	3743	13	0.9687	-28.032
424	1483	13	0.8789	-317.292
683	1483	13	0.8876	-15.995
972	1483	13	0.9687	28.031
1200	3743	13	0.9333	44.026
424	3743	13	0.9058	-345.324
683	3743	13	0.9705	-44.027
972	3743	13	1.0	-0.001
935	1049	13	0.8266	-132.078
424	683	13	0.8788	-301.297
683	972	13	0.9705	-44.026
683	1200	13	0.9116	-88.054
284	427	13	0.8134	-28.031
284	424	13	0.8399	-27.000
972	1200	13	0.9333	-44.027
424	972	13	0.9058	-345.324
88	173	14	0.9192	18.010
88	529	14	0.9244	-256.074
88	581	14	0.9822	0.000
88	1333	14	0.9774	0.000
88	2908	14	0.9209	-191.043
88	3080	14	0.9316	0.000
88	3609	14	0.9229	18.011
1563	1602	14	0.8656	-28.031
1563	1615	14	0.8803	27.995
1563	1676	14	0.9333	-14.016
1551	1718	14	0.9089	-28.031
1568	1718	14	0.9083	-70.042
1569	1718	14	0.8757	0.000
1574	1718	14	0.906	-28.031
1595	1718	14	0.8477	-42.011
1615	1718	14	0.906	-14.016
1668	1718	14	0.909	-28.031
1688	1718	14	0.8959	-14.016
1718	1762	14	0.8407	56.026
1602	1676	14	0.8464	14.015
2713	3043	14	0.9467	-0.011
3043	3588	14	0.9888	0.011
1274	3043	14	1.0	-0.011
1655	3043	14	0.9008	-28.006
173	3043	14	0.886	14.005
425	3043	14	0.9888	-0.011
963	3043	14	0.9495	-0.011
1551	1606	14	0.92	42.011
1574	1606	14	0.9046	42.011
1606	1628	14	0.9466	-0.000
1606	1668	14	0.9296	-42.011
1606	3176	14	0.8884	210.038
3181	3609	14	0.9749	0.000
1263	3181	14	0.9448	0.000
1973	3181	14	0.9739	0.000
173	3181	14	0.9769	0.000
3176	3234	14	0.9366	17.027
1758	3234	14	0.8799	-138.068
572	3234	14	0.8897	147.980
781	3234	14	0.9244	43.007
425	963	14	0.9481	0.000
963	1274	14	0.9495	-0.000
963	1655	14	0.882	27.995
963	2713	14	0.9735	0.000
963	3588	14	0.9481	0.000
326	1293	14	0.9401	0.000
326	1587	14	0.9253	256.073
2713	3588	14	0.9454	0.000
1274	3588	14	0.9888	0.000
1655	3588	14	0.9078	-27.995
3588	3609	14	0.8912	-14.016
425	3588	14	1.0	0.000
1551	1628	14	0.9402	42.011
1574	1628	14	0.9431	42.011
1628	1668	14	0.9529	-42.011
1628	3176	14	0.9047	210.038
1568	1762	14	0.8839	-14.016
1615	1762	14	0.8603	42.010
1688	1762	14	0.8484	42.011
173	581	14	0.9203	-18.010
529	581	14	0.9165	256.074
581	1333	14	0.9744	0.000
581	3080	14	0.9361	0.000
581	3609	14	0.9224	18.011
3176	3218	14	0.9107	-15.995
1758	3176	14	0.8884	-155.095
572	3176	14	0.8996	130.953
781	3176	14	0.9502	25.980
787	1580	14	0.9314	28.031
787	1682	14	0.9484	14.016
787	3024	14	0.9484	14.015
131	529	14	0.9301	-0.000
131	1631	14	0.9219	112.031
131	1642	14	0.9313	112.032
131	1647	14	0.9434	82.021
131	2486	14	0.9219	112.031
131	2908	14	0.9482	65.031
1631	1647	14	0.9392	-30.010
1642	1647	14	0.9323	-30.011
1647	2288	14	0.9288	14.017
1647	2486	14	0.9392	30.011
1647	2908	14	0.9579	-16.990
1647	3182	14	0.9205	-108.057
529	1647	14	0.942	82.021
1642	1709	14	0.8601	-323.121
1709	2043	14	0.8705	-42.010
1709	3852	14	0.8705	-42.011
2292	3968	14	0.9426	-336.084
2428	3968	14	0.9364	-180.042
1823	3968	14	0.9478	-18.010
1884	3968	14	1.0	0.001
3663	3968	14	0.9395	-336.084
712	3968	14	0.9395	-336.084
1631	1642	14	0.9367	0.001
1642	1712	14	0.9404	-0.000
1642	2486	14	0.9367	-0.001
1642	2908	14	0.9309	-47.001
1642	3168	14	0.9243	-155.095
1642	3182	14	0.9212	-138.069
529	1642	14	0.9182	112.032
1274	1655	14	0.9008	27.995
1274	2713	14	0.9467	0.000
173	1274	14	0.886	14.016
425	1274	14	0.9888	-0.000
1823	2547	14	0.9192	0.000
1333	3080	14	0.9333	0.000
529	3080	14	0.9174	256.074
2043	3852	14	1.0	-0.001
1263	3609	14	0.9489	0.000
1333	3609	14	0.917	18.011
1973	3609	14	0.9709	0.000
173	3609	14	0.9826	0.000
425	3609	14	0.8912	-14.016
2354	2850	14	0.8478	-191.043
1682	3024	14	1.0	-0.000
1324	1587	14	0.9423	174.053
1587	2292	14	0.9618	0.000
1587	2428	14	0.9369	-156.042
1587	2846	14	0.9364	-191.043
1587	2853	14	0.9462	-174.017
1587	3663	14	0.9663	0.000
712	1587	14	0.9663	-0.000
1551	1569	14	0.8936	-28.031
1569	1595	14	0.8646	42.011
1569	1615	14	0.8832	14.016
1569	1668	14	0.9023	28.031
1569	1688	14	0.8984	14.016
1449	3168	14	0.8953	130.953
1449	3182	14	0.9077	147.979
1449	3212	14	0.8678	102.922
1449	3213	14	0.8425	286.048
1449	3593	14	0.9278	108.020
1449	3757	14	1.0	-0.000
1823	1884	14	0.9478	-18.011
3218	3346	14	0.9316	17.027
529	1631	14	0.9248	112.031
529	1712	14	0.9335	112.032
529	2486	14	0.9248	112.031
529	2908	14	0.9549	65.031
173	1333	14	0.9129	-18.010
3560	3608	14	0.9156	-15.995
3593	3608	14	0.9202	14.016
2486	3212	14	0.9055	-183.126
3168	3212	14	0.9183	-28.031
3182	3212	14	0.9181	-45.058
3212	3757	14	0.8678	-102.922
1631	3212	14	0.9055	-183.125
2486	3168	14	0.9264	-155.095
3168	3182	14	0.9747	17.026
3168	3218	14	0.9129	14.016
3168	3757	14	0.8953	-130.953
1631	3168	14	0.9264	-155.094
1712	3168	14	0.9305	-155.095
2486	2908	14	0.9405	-47.001
2908	3182	14	0.9287	-91.067
1631	2908	14	0.9405	-47.000
2288	2428	14	0.9383	18.010
2288	3085	14	0.8895	174.052
2288	3218	14	0.858	-125.085
1580	2288	14	0.9438	17.027
1953	2288	14	0.9526	162.054
139	2288	14	0.9533	0.001
425	1655	14	0.9078	27.995
425	2713	14	0.9454	0.000
1631	1712	14	0.9456	0.001
1712	2486	14	0.9456	-0.000
1712	3593	14	0.8407	-178.027
1655	2354	14	0.8544	-43.990
1655	2713	14	0.8758	-27.995
1551	1668	14	0.9671	-0.000
1568	1668	14	0.9686	-42.011
1574	1668	14	0.9687	-0.000
1615	1668	14	0.9521	14.015
1668	1688	14	0.9219	-14.015
2486	3182	14	0.9266	-138.068
1631	2486	14	1.0	0.000
572	781	14	0.8862	104.974
781	1758	14	0.8759	181.074
1324	1580	14	0.944	-17.027
1580	1953	14	0.9437	-145.027
1580	2846	14	0.9488	0.036
1580	2853	14	0.9384	17.062
139	1580	14	0.946	-17.027
1568	1595	14	0.8818	-28.031
1595	1688	14	0.86	-27.995
572	936	14	0.9103	-0.000
936	3560	14	0.9206	108.021
1551	1568	14	0.9643	42.011
1568	1574	14	0.9648	-42.011
1568	1615	14	0.9468	-56.026
1568	1688	14	0.9171	-56.026
1263	1973	14	0.9506	0.000
173	1263	14	0.9485	0.000
1551	1574	14	0.9605	0.000
1551	1615	14	0.9484	-14.015
1551	1688	14	0.9241	-14.015
2292	2853	14	0.9585	-174.017
2428	2853	14	0.9496	-17.975
2846	2853	14	0.9685	17.026
2853	3663	14	0.9541	174.018
1324	2853	14	0.9502	0.035
1953	2853	14	0.9494	162.089
139	2853	14	0.9575	0.035
712	2853	14	0.9541	-174.018
3593	3757	14	0.9278	-108.021
3182	3757	14	0.9077	-147.979
3213	3757	14	0.8425	-286.048
3182	3213	14	0.9089	138.069
1631	3182	14	0.9266	-138.068
139	712	14	0.9426	174.053
712	1324	14	0.954	-174.053
712	1884	14	0.9395	-336.085
712	2292	14	0.9843	-0.000
712	2846	14	0.942	-191.044
712	3663	14	1.0	0.000
1324	1953	14	0.9512	-162.053
1324	2292	14	0.9622	174.053
1324	2428	14	0.9532	18.010
1324	2846	14	0.9584	-16.991
1324	3663	14	0.954	174.053
139	1324	14	0.9591	0.000
173	1973	14	0.9732	0.000
1953	2428	14	0.9394	180.064
1953	2846	14	0.9486	145.063
139	1953	14	0.9628	-162.053
1884	2292	14	0.9426	336.085
1884	2428	14	0.9364	180.043
1884	3663	14	0.9395	336.085
2292	3663	14	0.9843	0.000
2846	3663	14	0.942	191.044
139	3663	14	0.9426	174.053
2292	2846	14	0.9526	-191.043
2428	2846	14	0.954	-35.001
139	2846	14	0.9644	-16.991
1574	1688	14	0.9244	-14.015
1615	1688	14	0.9299	-0.000
1574	1615	14	0.9572	-14.015
572	3560	14	0.9601	108.021
139	2292	14	0.9492	174.053
139	2428	14	0.9496	18.011
2292	2428	14	0.9365	-156.042
420	760	16	0.7874	-113.980
580	760	16	0.796	-15.978
760	894	16	0.8902	72.954
760	1052	16	0.8617	-113.980
760	1146	16	0.8922	95.970
760	1176	16	0.7696	-41.027
760	1359	16	0.8156	-129.958
760	1414	16	0.9475	-15.977
104	142	16	0.7742	2.033
104	232	16	0.9286	-23.016
104	315	16	0.9373	-1.001
104	328	16	0.8981	-1.997
104	588	16	0.8354	-15.978
104	693	16	0.7123	-128.037
104	737	16	0.9871	0.036
104	894	16	0.7841	-13.945
1359	1414	16	0.829	113.981
894	1359	16	0.7767	-202.912
1052	1359	16	0.8417	-15.978
609	1153	16	0.7003	-15.977
142	269	16	0.8284	41.026
256	269	16	0.8791	18.011
269	420	16	0.7458	-15.977
269	580	16	0.7443	-113.980
142	592	16	0.7843	-113.980
256	592	16	0.7556	-136.996
580	592	16	0.8373	-41.027
588	592	16	0.8248	-95.970
592	1176	16	0.7392	-15.978
1227	4120	16	1.0	-0.001
256	1227	16	0.7328	-64.043
588	1227	16	0.759	-23.016
1146	1414	16	0.9123	-111.947
420	1146	16	0.825	-18.011
894	1146	16	0.9284	23.016
142	737	16	0.7721	-1.997
232	737	16	0.9291	23.052
315	737	16	0.9384	1.037
328	737	16	0.8988	2.033
588	737	16	0.8375	16.013
693	737	16	0.7078	128.073
737	894	16	0.7815	-13.980
737	1050	16	0.71	-2.983
142	580	16	0.9498	-72.954
256	580	16	0.9279	-95.970
580	588	16	0.9123	54.943
894	1052	16	0.7775	-186.934
1052	1176	16	0.7945	72.954
1052	1414	16	0.8327	98.003
315	328	16	0.8376	-0.996
315	588	16	0.7992	-14.976
315	894	16	0.7383	-12.943
547	890	16	0.7587	-18.010
890	1393	16	0.7587	17.998
328	693	16	0.7123	-126.040
420	547	16	0.7323	-54.030
420	894	16	0.8285	-41.027
420	984	16	0.7363	-70.007
420	1393	16	0.7323	-54.043
420	1414	16	0.798	-129.958
1176	1414	16	0.746	25.049
547	1393	16	1.0	-0.013
984	1393	16	0.8206	15.964
142	588	16	0.915	-18.011
256	588	16	0.8771	-41.027
