CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2244	2631	-273.100	0.000	0.8583	0.6037	1
2244	2655	-191.043	0.000	0.9368	0.6411	1
2244	2661	18.011	0.000	0.8274	0.6310	1
2244	2664	-256.073	0.000	0.9276	0.6372	1
2244	2670	-191.043	0.000	0.9368	0.6411	1
2244	2727	0.000	0.000	0.9600	0.6190	1
2244	2729	18.011	0.000	0.8373	0.5758	1
2244	2741	-178.048	0.000	0.9274	0.6300	1
2244	2767	18.011	0.000	0.7503	0.5725	1
2244	2800	-195.075	0.000	0.8824	0.6048	1
2244	2830	-160.037	0.000	0.9258	0.5759	1
2244	2848	-191.043	0.000	0.9368	0.6411	1
2244	2893	-174.017	0.000	0.9012	0.6263	1
2244	2947	-26.016	0.000	0.8762	0.6535	1
2244	2951	10.021	0.000	0.8097	0.6034	1
2244	2968	-2.016	0.000	0.7041	0.5178	1
2244	3029	-160.037	0.000	0.9358	0.6582	1
2244	3085	-15.995	0.000	0.8203	0.6076	1
2244	3092	-160.038	0.000	0.9258	0.5759	1
2244	3128	-205.059	0.000	0.9353	0.6249	1
2244	3193	0.000	0.000	0.9600	0.6190	1
2244	3202	-299.137	0.000	0.9038	0.5808	1
2244	3234	-282.110	0.000	0.8570	0.5723	1
2244	3256	-188.031	0.000	0.8876	0.5922	1
2244	3301	-14.016	0.000	0.7042	0.5075	1
2244	3446	-29.100	0.000	0.7162	0.4429	1
2244	3542	-160.036	0.000	0.9358	0.6582	1
2244	3547	38.005	0.000	0.7831	0.6428	1
2244	3560	-322.069	0.000	0.8191	0.5914	1
2244	3622	18.010	0.000	0.7217	0.6084	1
2244	3663	-15.995	0.000	0.8438	0.6937	1
2244	3806	-195.074	0.000	0.8824	0.6048	1
2244	3869	-178.048	0.000	0.8928	0.5655	1
2244	3904	17.999	0.000	0.8212	0.6242	1
2244	3911	18.023	0.000	0.8220	0.6360	1
2244	4096	-341.132	0.000	0.7383	0.5470	1
2245	2249	178.099	0.000	0.7664	0.6530	1
2245	2262	44.063	0.000	0.8478	0.7108	1
2245	2320	92.062	0.000	0.7969	0.6300	1
2245	2390	-15.995	0.000	0.7457	0.6492	1
2245	2407	195.162	0.000	0.8013	0.6639	1
2245	2413	213.173	0.000	0.7524	0.6271	1
2245	2424	76.033	0.000	0.8315	0.6261	1
2245	2660	10.020	0.000	0.7141	0.4634	1
2245	2668	132.057	0.000	0.7441	0.6270	1
2245	2858	119.110	0.000	0.7129	0.5156	1
2245	2905	-10.042	0.000	0.7103	0.6129	1
2245	3628	24.108	0.000	0.7510	0.5683	1
2245	3670	92.062	0.000	0.7969	0.6300	1
2245	3675	8.114	0.000	0.8384	0.6880	1
2245	3865	160.125	0.000	0.8549	0.6679	1
2245	3917	195.162	0.000	0.8013	0.6639	1
2245	3938	132.057	0.000	0.7441	0.6270	1
2245	3994	-10.042	0.000	0.7103	0.6129	1
2246	2247	162.052	0.000	0.7721	0.6100	1
2248	2347	295.249	0.000	0.7127	0.5837	1
2248	2451	475.312	0.000	0.7951	0.5917	1
2248	2764	475.312	0.000	0.7983	0.6455	1
2248	3739	209.248	0.000	0.7302	0.5973	1
2248	3803	250.191	0.000	0.7040	0.5399	1
2248	3809	475.312	0.000	0.7932	0.5889	1
2248	3834	295.249	0.000	0.7335	0.5948	1
2249	2262	-134.036	0.000	0.7038	0.6544	1
2249	2424	-102.066	0.000	0.7229	0.6163	1
2249	3675	-169.985	0.000	0.7173	0.6441	1
2249	3703	28.032	0.000	0.7472	0.5916	1
