CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
9	4049	79.915	0.000	0.7525	0.5706	1
9	4150	158.946	0.000	0.8179	0.3895	1
9	4187	-62.057	0.000	0.7585	0.4330	1
9	4206	-52.183	0.000	0.8275	0.5032	1
9	4222	-110.218	0.000	0.7386	0.3665	1
9	4251	-75.285	0.000	0.7375	0.4120	1
9	4266	-52.179	0.000	0.7748	0.3979	1
9	4274	-60.254	0.000	0.8135	0.3571	1
9	4288	-50.255	0.000	0.8103	0.3821	1
9	4314	-64.259	0.000	0.7013	0.4294	1
9	4315	-82.194	0.000	0.7063	0.5400	1
9	4323	-82.190	0.000	0.7616	0.5581	1
9	4366	142.951	0.000	0.8171	0.4064	1
9	4374	81.895	0.000	0.7452	0.5347	1
9	4375	164.993	0.000	0.8612	0.4886	1
10	17	26.015	0.000	0.8692	0.7754	1
10	73	0.000	0.000	0.9441	0.8408	1
10	83	12.000	0.000	0.8715	0.7014	1
10	96	0.000	0.000	0.9496	0.8486	1
10	105	2.016	0.000	0.8607	0.7772	1
10	137	-30.047	0.000	0.8535	0.7508	1
10	147	17.027	0.000	0.8695	0.7719	1
10	184	54.083	0.000	0.7687	0.7720	1
10	205	2.016	0.000	0.8568	0.7535	1
10	216	54.083	0.000	0.7254	0.6678	1
10	257	2.016	0.000	0.8335	0.7294	1
10	268	-279.256	0.000	0.7775	0.6177	1
10	270	-28.031	0.000	0.7941	0.5514	1
10	272	15.011	0.000	0.7558	0.5969	1
10	287	-74.073	0.000	0.7064	0.5036	1
10	297	54.047	0.000	0.8194	0.6356	1
10	333	-15.995	0.000	0.7868	0.6335	1
10	370	-72.057	0.000	0.7988	0.5563	1
10	378	0.012	0.000	0.9525	0.8994	1
10	457	-16.031	0.000	0.7725	0.5532	1
10	478	26.016	0.000	0.8581	0.6894	1
10	502	-0.000	0.000	0.8876	0.7186	1
10	520	2.016	0.000	0.8440	0.7312	1
10	521	-15.995	0.000	0.7152	0.5120	1
10	562	35.037	0.000	0.7190	0.5677	1
10	568	64.068	0.000	0.7128	0.5565	1
10	645	0.000	0.000	0.8684	0.7127	1
10	672	72.094	0.000	0.7582	0.6336	1
10	678	-56.063	0.000	0.8132	0.5767	1
10	686	-56.063	0.000	0.8550	0.6568	1
10	724	28.031	0.000	0.8444	0.6384	1
10	775	43.042	0.000	0.7188	0.4748	1
10	818	72.094	0.000	0.7829	0.7052	1
10	851	-56.063	0.000	0.8502	0.6517	1
10	872	17.027	0.000	0.8631	0.7487	1
10	913	0.000	0.000	0.9404	0.8192	1
10	943	-15.995	0.000	0.7943	0.6379	1
10	961	-73.005	0.000	0.7126	0.7196	1
10	1072	82.078	0.000	0.7310	0.5493	1
10	1122	26.016	0.000	0.8594	0.6973	1
10	1138	-56.063	0.000	0.7257	0.4397	1
10	1273	82.078	0.000	0.7386	0.4828	1
10	1307	0.012	0.000	0.9525	0.8994	1
10	1363	-18.010	0.000	0.7793	0.5506	1
10	1462	35.037	0.000	0.7190	0.5677	1
10	1473	-74.073	0.000	0.7064	0.5036	1
10	1495	-73.005	0.000	0.7085	0.6217	1
10	1517	28.031	0.000	0.7876	0.5728	1
10	1527	-28.031	0.000	0.8668	0.6791	1
10	1545	54.047	0.000	0.7936	0.6020	1
10	1890	2.016	0.000	0.7749	0.5379	1
10	1891	2.016	0.000	0.7749	0.5379	1
10	1930	2.016	0.000	0.8335	0.7294	1
10	2020	-145.115	0.000	0.7114	0.6448	1
10	2343	26.025	0.000	0.8523	0.7526	1
10	2527	17.027	0.000	0.8353	0.6774	1
10	2601	0.000	0.000	0.9450	0.8562	1
10	2675	2.016	0.000	0.7333	0.5150	1
10	2718	-15.995	0.000	0.7021	0.5127	1
10	2746	2.016	0.000	0.8335	0.7294	1
10	2789	0.000	0.000	0.8684	0.7127	1
10	2802	-16.031	0.000	0.7725	0.5532	1
10	2821	-279.256	0.000	0.7775	0.6177	1
10	3435	29.063	0.000	0.7029	0.5643	1
10	3797	-98.984	0.000	0.7294	0.6963	1
10	3892	-127.015	0.000	0.7323	0.4919	1
10	3915	-73.005	0.000	0.7126	0.7196	1
10	3941	17.027	0.000	0.8353	0.6774	1
10	4012	-0.000	0.000	0.9432	0.8318	1
10	4028	54.083	0.000	0.7256	0.6570	1
10	4032	-28.031	0.000	0.8668	0.6791	1
10	4078	-56.065	0.000	0.7914	0.5446	1
10	4103	0.013	0.000	0.9365	0.8377	1
10	4114	-15.995	0.000	0.7021	0.5127	1
10	4121	-0.000	0.000	0.8876	0.7186	1
10	4368	-0.000	0.000	0.8876	0.7186	1
11	29	18.011	0.000	0.9785	0.9052	1
11	52	54.032	0.000	0.8541	0.7978	1
11	126	38.037	0.000	0.7253	0.6882	1
11	188	-17.026	0.000	0.8844	0.7926	1
11	249	20.026	0.000	0.8066	0.8610	1
11	283	-9.984	0.000	0.8025	0.8072	1
11	308	-9.977	0.000	0.8025	0.8072	1
11	1267	54.021	0.000	0.8541	0.7978	1
11	2046	36.010	0.000	0.7475	0.6690	1
11	2052	36.010	0.000	0.7475	0.6690	1
11	2342	-0.951	0.000	0.8338	0.7977	1
11	2662	20.026	0.000	0.7195	0.6611	1
11	3955	18.011	0.000	0.9736	0.8731	1
11	4014	36.021	0.000	0.7419	0.6622	1
11	4107	-0.951	0.000	0.7766	0.7018	1
11	4112	-0.951	0.000	0.7223	0.6181	1
12	40	35.037	0.000	0.9534	0.7997	1
12	89	17.027	0.000	0.9277	0.7432	1
12	93	162.053	0.000	0.9485	0.8330	1
12	113	180.063	0.000	0.9400	0.8084	1
12	117	-74.053	0.000	0.8209	0.5086	1
12	126	215.100	0.000	0.7687	0.7262	1
12	161	14.000	0.000	0.7306	0.5801	1
12	249	197.090	0.000	0.7917	0.7502	1
12	295	-116.063	0.000	0.7202	0.5455	1
12	443	53.048	0.000	0.8500	0.7507	1
12	699	35.011	0.000	0.9142	0.8559	1
12	904	33.969	0.000	0.7419	0.6060	1
12	916	197.064	0.000	0.7341	0.7552	1
12	997	47.984	0.000	0.8443	0.6455	1
12	1152	28.016	0.000	0.7822	0.6035	1
12	1198	62.001	0.000	0.8550	0.6636	1
12	1326	70.027	0.000	0.8797	0.7128	1
12	1329	-40.068	0.000	0.7649	0.6556	1
12	1366	-74.052	0.000	0.8209	0.5086	1
12	1548	47.010	0.000	0.8854	0.7104	1
12	1588	58.027	0.000	0.8349	0.6821	1
12	1663	57.990	0.000	0.9003	0.7012	1
12	1721	180.063	0.000	0.7907	0.7051	1
12	1733	180.063	0.000	0.7355	0.5870	1
12	1739	17.027	0.000	0.9207	0.7399	1
12	1749	17.027	0.000	0.9207	0.7399	1
12	1799	77.995	0.000	0.7411	0.5266	1
12	1806	-26.031	0.000	0.7382	0.6141	1
12	1933	-6.026	0.000	0.7125	0.5670	1
12	1950	77.995	0.000	0.8409	0.6138	1
12	2075	-70.021	0.000	0.7259	0.4800	1
12	2078	-28.009	0.000	0.7086	0.5106	1
12	2132	76.052	0.000	0.7659	0.5555	1
12	2144	14.000	0.000	0.7306	0.5801	1
12	2262	-40.010	0.000	0.7171	0.5166	1
12	2401	180.063	0.000	0.7907	0.7051	1
12	2403	41.995	0.000	0.7238	0.5167	1
