row ID,row m/z,row retention time,intensity_measure,Blank_202404241731_EB_dbgi_mapp_blk_pre02.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre03.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre01.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre04.mzML Peak area,Erythroxylum_coca_202404241731_EB_dbgi_003208_01_01_Luca.mzML Peak area,Erythroxylum_coca_202404241731_EB_dbgi_003208_02_01_Luca.mzML Peak area,Brugmansia_insignis_202404241731_EB_dbgi_003224_02_01_Luca.mzML Peak area,Brugmansia_insignis_202404241731_EB_dbgi_003224_01_02_Luca.mzML Peak area,Erythroxylum_australe_202404241731_EB_tp24_000007_02_02_Luca.mzML Peak area,Erythroxylum_australe_202404241731_EB_tp24_000007_01_01_Luca.mzML Peak area,Unnamed: 13
697,394.1878763834636,8.226146533333333,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2145.626995124957,1487770.4970696475,159374.36597856422,
698,363.1624145507813,1.99448315,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520244.63324297295,1934210.1130050344,
699,815.2026977539062,4.488403099999999,area,0.0,0.0,0.0,0.0,0.0,0.0,397625.02150370687,710872.2822623398,0.0,0.0,
700,470.38468170166016,9.6124073,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2991027.6057544644,78446.72613371784,
701,659.3320129394531,4.55508264,area,0.0,0.0,0.0,0.0,412515.75571903714,334815.734856194,4854.225706533147,0.0,25836.796477720407,640295.5822671509,
702,322.21252187093097,1.7162057666666668,area,0.0,0.0,0.0,0.0,4504580.852982244,3863084.967100007,316020.6023343222,480308.11708409246,98590.13019941525,153481.6562910883,
703,654.5673904468384,11.8147165,area,0.0,0.0,0.0,0.0,11546.48733175762,13114.630677655749,3138.5799746194216,3540.7408750052555,192389.60956295225,847621.5256522854,
704,668.5433960142578,11.4190628,area,0.0,0.0,0.0,0.0,12226.405211865069,27299.060022261,6678.708260749343,0.0,1746531.318828048,541923.807436469,
705,328.19643656656905,2.30756265,area,3303.6807947087955,3283.616534689735,894.6789328341181,2951.747833338435,0.0,0.0,0.0,0.0,204630.5081968833,5311139.890602951,
706,209.07839050545653,2.8441806400000003,area,830.9949342275303,0.0,417.0659881662647,2331.8597616874195,0.0,0.0,0.0,0.0,646427.1962968289,11356.12273371818,
