CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
715	2408	18	0.8358	4.032
715	2746	18	0.8079	6.047
2408	2746	18	0.9282	2.015
2408	3407	18	0.7852	-519.331
105	2408	18	0.7799	238.229
108	2408	18	0.8946	-23.999
1633	2408	18	0.8561	-26.013
2746	4062	18	0.8096	-517.319
108	1633	18	0.833	2.014
1633	2746	18	0.8076	-23.999
2228	3025	18	0.7804	-2.015
2228	3099	18	0.7987	4.032
2228	4327	18	0.8011	0.002
849	2228	18	0.8011	-0.001
1515	2228	18	0.7771	-24.000
105	3099	18	0.8215	-19.969
1515	3099	18	0.7742	-19.968
105	1515	18	0.7736	-0.001
105	2746	18	0.7739	240.244
105	4276	18	0.8136	-28.028
1515	3025	18	0.7825	-26.015
1515	4276	18	0.8385	-28.027
1218	2686	18	0.7275	2.016
3025	4276	18	0.7936	-2.012
3025	4327	18	0.739	2.016
849	3025	18	0.739	-2.016
1218	3025	18	0.7484	-2.016
108	2746	18	0.8721	-21.985
849	4327	18	1.0	0.000
1218	4276	18	0.7529	-4.028
381	621	19	0.9127	-56.063
621	2335	19	0.9377	0.000
621	2880	19	0.9214	28.031
621	3120	19	0.9372	28.043
621	3358	19	0.933	28.031
621	3398	19	0.927	28.031
621	3455	19	0.9138	30.047
621	4289	19	0.9213	28.043
621	4325	19	0.9318	28.031
863	2123	19	0.9263	279.255
863	3120	19	0.9346	279.268
863	3358	19	0.9314	279.256
863	3398	19	0.9309	279.256
863	4289	19	0.9315	279.268
863	4325	19	0.9286	279.255
2377	3552	19	0.9018	28.031
469	1292	19	0.8817	-0.000
790	1171	19	0.904	14.016
790	1632	19	0.8986	-28.031
790	2160	19	0.9057	-42.047
790	3724	19	0.904	14.016
790	4323	19	0.9069	0.011
3326	3552	19	0.8937	-2.015
389	3639	19	0.8827	56.062
910	3639	19	0.9022	-0.000
1292	3639	19	0.9083	-0.000
1577	3639	19	0.9182	-0.000
190	1158	19	0.886	4.031
1158	1170	19	0.9118	-2.015
1158	1560	19	0.9068	0.000
1158	1951	19	0.9408	-2.015
1158	2020	19	0.9118	-141.019
1158	3192	19	0.8896	0.000
1158	3399	19	0.8996	-457.304
1158	3447	19	0.8884	28.031
70	3399	19	0.9054	-179.079
388	3399	19	0.8903	162.052
3326	3399	19	0.8854	-28.031
1808	2159	19	0.9073	30.047
2159	3326	19	0.901	162.053
2123	2836	19	0.9029	17.027
2123	3871	19	0.915	0.001
754	2287	19	0.8944	-26.016
1677	2287	19	0.9101	-28.031
1808	2287	19	0.9174	-2.015
754	1677	19	0.9078	2.015
1677	1808	19	0.8939	-26.016
352	470	19	0.8988	-260.030
470	1170	19	0.9025	260.030
470	3030	19	0.8929	119.011
775	1292	19	0.8862	-0.000
775	1577	19	0.89	-0.000
2451	3030	19	0.9014	477.285
352	3030	19	0.8824	-141.019
1170	3030	19	0.942	-141.019
1951	3030	19	0.9743	-141.020
2020	3030	19	0.91	-2.015
2905	4258	19	0.9589	0.001
196	4258	19	0.9287	-28.031
956	4258	19	0.9663	-0.010
3372	4258	19	0.9359	14.016
3527	4258	19	0.8916	-17.026
3724	4258	19	0.9206	-0.000
4258	4323	19	0.9115	-14.005
1171	4258	19	0.9206	-0.000
1632	4258	19	0.9554	42.047
2160	4258	19	0.9535	56.063
910	1292	19	0.8989	0.000
1292	1577	19	0.9089	0.000
1292	3859	19	0.899	-461.338
2406	2649	19	0.9673	0.000
2633	2649	19	0.9592	0.012
2649	2791	19	0.9571	-0.012
2649	3314	19	0.9381	-0.012
2649	3455	19	0.9451	-0.012
2649	3861	19	0.9118	-0.013
1490	2649	19	0.9308	0.012
2170	2649	19	0.9381	0.012
196	1632	19	0.9152	-70.078
956	1632	19	0.9415	-42.057
1171	1632	19	0.9148	-42.047
1632	2160	19	0.956	-14.016
1632	2905	19	0.9289	42.047
1632	3372	19	0.9377	28.031
1632	3724	19	0.9148	42.047
1632	4323	19	0.9549	28.042
2291	3326	19	0.8916	-14.017
190	1951	19	0.9093	2.016
222	1951	19	0.9002	-74.036
352	1951	19	0.8934	0.000
1170	1951	19	0.9491	0.000
1560	1951	19	0.8854	-2.015
1951	1966	19	0.8887	74.036
1951	2308	19	0.8966	74.036
1951	2836	19	0.9022	74.036
194	1966	19	0.9406	-0.001
222	1966	19	0.9595	-0.001
1943	1966	19	0.9172	-0.000
1966	2308	19	0.9662	0.001
1966	2530	19	0.8903	0.000
1966	2836	19	0.9598	0.001
1966	4028	19	0.9116	-28.031
1170	1560	19	0.8908	2.015
1560	2020	19	0.8948	-141.020
1560	3192	19	0.8952	0.000
1560	3447	19	0.8888	28.031
2724	2880	19	0.9361	-0.025
2880	3120	19	0.9661	0.012
2880	3358	19	0.9658	0.000
2880	3398	19	0.9615	0.000
2880	3871	19	0.9401	0.000
2880	4289	19	0.9358	0.012
2880	4325	19	0.9567	-0.000
879	2880	19	0.9361	-0.032
1228	2880	19	0.9702	0.000
2530	2836	19	0.8905	0.000
2530	4028	19	0.886	-28.031
194	2530	19	0.9005	-0.000
1490	2170	19	0.9267	-0.000
1490	2406	19	0.9371	0.012
1490	2633	19	0.9387	-0.000
1490	2665	19	0.9155	-28.032
1490	2791	19	0.9357	0.000
1490	3114	19	0.9155	-28.032
1490	3314	19	0.9267	-0.000
1490	3455	19	0.9284	0.000
1490	3861	19	0.9099	-0.000
2534	3527	19	0.9308	14.015
979	2534	19	0.9004	14.016
910	1577	19	0.8913	0.000
2905	3372	19	0.9369	-14.015
2905	3527	19	0.9021	17.027
2905	3724	19	0.9302	0.001
2905	4323	19	0.9248	-14.004
196	2905	19	0.9272	-28.032
956	2905	19	0.9595	-0.011
1171	2905	19	0.9302	-0.001
2160	2905	19	0.9293	56.062
194	1943	19	0.9311	-0.000
222	1943	19	0.9222	-0.000
1943	2308	19	0.9283	0.000
1943	2836	19	0.9264	0.000
2406	2633	19	0.9622	-0.012
2406	2665	19	0.9213	-28.044
2406	2791	19	0.9719	-0.012
2406	3114	19	0.9213	-28.044
2406	3314	19	0.9408	-0.012
2406	3455	19	0.9491	-0.012
2406	3861	19	0.9219	-0.013
1228	2406	19	0.9227	2.028
2170	2406	19	0.9408	0.012
2308	2836	19	0.9625	-0.000
2836	4028	19	0.9106	-28.031
194	2836	19	0.9415	0.000
222	2836	19	0.9626	-0.000
196	522	19	0.9176	42.047
213	522	19	0.9458	14.016
522	1280	19	0.8883	-26.016
2724	3120	19	0.9276	-0.013
3120	3358	19	0.9714	-0.012
3120	3398	19	0.9644	-0.012
3120	3871	19	0.9391	-0.012
3120	4289	19	0.9456	0.000
3120	4325	19	0.9624	-0.012
879	3120	19	0.9276	-0.020
1228	3120	19	0.9668	0.012
194	222	19	0.9375	0.000
222	2308	19	0.9767	0.000
222	4028	19	0.9072	-28.032
2724	3358	19	0.9311	-0.025
2724	3871	19	0.9123	-0.025
2724	4325	19	0.9266	-0.025
879	2724	19	1.0	-0.007
1228	2724	19	0.9221	0.025
190	828	19	0.8807	-0.000
213	1342	19	0.8894	-18.011
381	3871	19	0.9237	-28.031
879	3871	19	0.9123	-0.032
3358	3871	19	0.9371	0.000
3398	3871	19	0.9456	0.000
3871	4289	19	0.9376	0.012
3871	4325	19	0.9421	-0.001
1228	3871	19	0.9406	0.001
70	1198	19	0.8926	26.016
2170	2633	19	0.9405	0.000
2170	2665	19	0.9194	-28.031
2170	2791	19	0.9338	0.000
2170	3114	19	0.9194	-28.031
2170	3314	19	1.0	0.000
2170	3455	19	0.937	0.000
2170	3861	19	0.9123	-0.000
196	956	19	0.9392	-28.021
956	1171	19	0.9244	-0.010
956	2160	19	0.9335	-56.073
956	3372	19	0.9361	-14.026
956	3527	19	0.8988	17.016
956	3724	19	0.9244	-0.010
956	4323	19	0.9261	-14.015
397	2020	19	0.8885	119.010
2020	3192	19	0.8916	141.020
70	952	19	0.9129	28.031
952	3326	19	0.881	-179.078
1577	3859	19	0.8954	-461.338
190	979	19	0.9103	74.036
979	2308	19	0.8978	2.016
979	3527	19	0.9376	28.031
190	1170	19	0.8982	2.015
352	1170	19	0.9164	0.000
1170	3192	19	0.8833	2.015
388	1808	19	0.9051	-2.016
2633	3314	19	0.9405	0.000
2665	3314	19	0.9194	28.031
2791	3314	19	0.9338	-0.000
3114	3314	19	0.9194	28.031
3314	3455	19	0.937	0.000
3314	3861	19	0.9123	-0.000
3527	3724	19	0.8996	-17.026
1171	3527	19	0.8996	17.026
2665	4074	19	0.9216	-0.000
3114	4074	19	0.9216	-0.000
2308	4028	19	0.8938	-28.032
194	4028	19	0.8998	-28.031
749	4028	19	0.8974	15.995
196	1171	19	0.9144	-28.031
196	2160	19	0.9167	-84.094
196	3372	19	0.9061	-42.047
196	3724	19	0.9144	-28.031
196	4323	19	0.9076	-42.036
1171	2160	19	0.9186	-56.063
1171	3724	19	1.0	0.000
2633	3861	19	0.9149	-0.000
2791	3861	19	0.9154	-0.001
3455	3861	19	0.9132	-0.001
3372	4323	19	0.9538	0.011
2160	3372	19	0.9403	42.047
879	4325	19	0.9266	-0.032
3358	4325	19	0.9603	-0.000
3398	4325	19	0.9623	-0.000
4289	4325	19	0.9399	-0.012
1228	4325	19	0.9587	0.000
879	3358	19	0.9311	-0.032
3358	3398	19	0.9584	0.000
3358	4289	19	0.942	0.012
1228	3358	19	0.9629	0.000
754	1808	19	0.903	-24.000
2335	4289	19	0.9184	28.043
3398	4289	19	0.9366	0.012
1228	4289	19	0.9344	0.012
194	2308	19	0.9398	0.000
2160	3724	19	0.9186	56.063
2160	4323	19	0.9506	42.058
510	749	19	0.935	18.010
2633	2665	19	0.9141	-28.031
2665	3114	19	1.0	0.000
2665	3455	19	0.902	28.032
381	3398	19	0.928	-28.031
2633	2791	19	0.9609	0.000
2633	3114	19	0.9141	-28.031
2633	3455	19	0.9455	0.000
389	749	19	0.8995	28.031
879	1228	19	0.9221	-0.032
1228	3398	19	0.9706	0.000
3114	3455	19	0.902	28.032
2791	3455	19	0.9423	0.000
1305	3768	20	0.801	30.010
786	2644	21	0.8532	-197.090
833	2644	21	0.8437	-197.090
1486	2644	21	0.9143	18.010
297	2950	21	0.9169	18.011
