	Malus_vs_Potentilla_fold_change_log2	Malus_vs_Potentilla_p_value	Malus_vs_Prunus_fold_change_log2	Malus_vs_Prunus_p_value	Potentilla_vs_Prunus_fold_change_log2	Potentilla_vs_Prunus_p_value
1,2-bis(3,4-dimethoxyphenyl)propane-1,3-diol	5.83066363528107	0.954207852264474	8.47053936734939	0.232264092873106	2.63987573206832	0.33156143206623
gamma-decalactone	-0.0349464747770828	0.999111406927789	0.617440269975294	0.662074302038539	0.652386744752377	0.639283711562769
hexadecanamide	-0.0783111835828581	0.915739275329319	0.016066193917441	0.995995995849216	0.0943773775002988	0.879506362267297
3',4',5,7-tetrahydroxy-3-methoxyflavone	6.09151709122661	0.000640972548551999	2.39785403286705	0.880511107088241	-3.69366305835956	0.000916442801661921
13-hydroxytridecanoic acid	-0.233692396114605	0.999749408341255	3.49117617461964	0.371999318552067	3.72486857073424	0.362960472598277
heptaethylene glycol	0.392392358647698	0.788332348005594	-0.380652955532013	0.875187585144446	-0.773045314179711	0.512132492493765
4-hydroxystyrene	7.2351989911705	0.978943878182296	10.0829245427328	0.387463139054544	2.84772555156226	0.480966091083679
7,8-Dihydro-alpha-ionone	-2.78135693027679	0.946259884920972	2.01660526061136	0.530182590495605	4.79796219088815	0.375805642534716
imidurea	1.76071143929732	0.00114615959594266	-0.918556102624533	0.419788966263725	-2.67926754192185	0.000429186186786223
1-Isopropyl citrate	3.58953137341147	0.999980307104247	11.253436319351	0.435102777442507	7.66390494593949	0.437961656116416
Isorhamnetin 3-O-[b-D-xylopyranosyl-(1->6)-b-D-glucopyranoside]	-2.38416975755602	0.624808190532958	0.757555314782319	0.704349375111	3.14172507233833	0.252725913776094
L-DOPA 3'-glucoside	-1.61577242237655	0.615431557618231	-0.766909716657804	0.825811117134175	0.848862705718744	0.924568165048452
pyridoxine	-0.305666175380046	0.997880868037591	2.24470729879508	0.487650364267292	2.55037347417513	0.456515471947811
