"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"1283_224.11_3.8",1283,224.107748849051,3.75675417142857,"C10H19NOS"
"1284_466.18_5.9",1284,466.175289918594,5.93524485333333,"C23H29N3O4S"
"1285_309.1_2",1285,309.096844760461,1.97900592272727,"C15H18O8"
"1286_281.25_9.5",1286,281.247928466797,9.460017264,"C18H32O2"
"1287_935.24_2.9",1287,935.244478498186,2.88142395,"C42H46O24"
"1288_603.17_2.9",1288,603.168781481291,2.93881023684211,"C24H32N6O7S2"
"1289_935.57_11.1",1289,935.569937135292,11.1367602,NA
"129_395.1_0.9",129,395.10363769683,0.883927582105263,"C12H26O10S2"
"1290_342.26_7.1",1290,342.264127197266,7.116325196,"C19H37NO5"
"1291_404.16_2.9",1291,404.155529204436,2.85462084285714,"C18H21N5O6"
"1292_279.23_8.9",1292,279.231793213928,8.946053896,"C18H30O2"
"1293_327.3_7.2",1293,327.300165085565,7.2349498952381,NA
"1294_447.38_11.3",1294,447.38271077474,11.295852952381,"C29H52O4"
"1295_255.05_2.1",1295,255.047571182884,2.05427192,NA
"1296_329.32_7.3",1296,329.315822948567,7.2689295,"C19H40N2O2"
"1297_227.05_2.7",1297,227.052481707405,2.66733814705882,"C14H12O2S"
"1298_719.51_10.7",1298,719.506809488932,10.6567444,NA
"1299_195.1_6.5",1299,195.101500549316,6.497484548,"C11H16O4"
"13_342.23_6.1",13,342.227418823242,6.101390808,NA
"130_184.1_3.2",130,184.096778551737,3.15152784166667,"C9H15NO4"
"1300_207.21_0.6",1300,207.206868489583,0.575226674444445,NA
"1301_270.24_7",1301,270.242754517358,6.980581828,"C16H33NO3"
"1302_240.87_0.6",1302,240.866357803345,0.6092737275,NA
"1303_566.26_3.1",1303,566.259318542481,3.145224965,"C29H35N5O7"
"1304_465.1_3",1304,465.102562256393,3.0220495,"C21H20O12"
"1305_294.15_1.3",1305,294.154575032274,1.26082787083333,"C12H23NO7"
"1306_469.13_2.3",1306,469.131591796875,2.32210111578947,"C19H25N4O6PS"
"1307_147.04_1.5",1307,147.035293579102,1.5142841,NA
"1308_509.29_8.1",1308,509.287623088245,8.06958324285714,"C24H45O9P"
"1309_615.5_11.6",1309,615.497264405994,11.60301968,"C37H68O5"
"131_261.14_2.2",131,261.144465130107,2.1830942,"C11H20N2O5"
"1310_542.32_6.9",1310,542.323306438695,6.89809398947368,"C28H48NO7P"
"1311_171.07_1.7",1311,171.065016479492,1.732418672,"C8H12O5"
"1312_150.06_0.8",1312,150.058659871419,0.821354598571429,"C5H11NO2S"
"1313_252.23_6.6",1313,252.232134385542,6.62307218181818,"C16H29NO"
"1314_392.26_4.1",1314,392.263857329172,4.12108193076923,"C20H35N5O4"
"1315_311.22_6.7",1315,311.221591797485,6.723644068,"C18H32O5"
"1316_264.11_2.5",1316,264.1078456882,2.45531829,"C10H19NO8"
"1317_334.11_1.9",1317,334.113385156076,1.85642029047619,"C13H21NO10"
"1318_804.42_6.5",1318,804.419964599609,6.47799321,"C46H59N3O8"
"1319_530.36_2.1",1319,530.355051676432,2.07073781666667,"C25H47N5O7"
"132_390.14_2.5",132,390.139877321072,2.45982564,"C16H25NO11"
"1320_788.29_3",1320,788.294978091591,3.04334062631579,"C35H49NO19"
"1321_398.91_0.5",1321,398.905896868635,0.501422726666667,"C11H9BrN2O5S"
"1322_381.17_4.7",1322,381.166531731522,4.65629665294118,"C19H28N2O2S2"
"1323_500.27_7.3",1323,500.274148125044,7.3018823952381,"C23H44NO7P"
"1324_249.04_0.6",1324,249.036619873795,0.60318344,"C10H10O6"
"1325_181.12_9.7",1325,181.122145080566,9.694629684,"C11H18O3"
