CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
4199	4258	6	0.9048	17.027
4199	4338	6	0.8078	14.010
784	1518	6	0.7859	-28.031
1518	4178	6	0.8007	-0.001
1518	4237	6	0.7825	-44.028
1518	4242	6	0.7689	-44.033
1518	4291	6	1.0	-0.001
1518	4319	6	0.8331	-0.006
1518	4338	6	0.7642	-44.033
784	4291	6	0.7859	-28.032
4178	4291	6	0.8007	-0.000
4237	4291	6	0.7825	44.027
4242	4291	6	0.7689	44.032
4291	4319	6	0.8331	-0.005
4291	4338	6	0.7642	-44.032
977	4271	6	0.8734	3.011
1197	4271	6	0.9214	0.000
1512	4271	6	0.8925	14.016
4258	4271	6	0.7986	42.047
4237	4285	6	0.8041	-44.031
4242	4285	6	0.7614	-44.026
4285	4338	6	0.7803	44.027
4237	4242	6	0.8477	-0.005
4237	4319	6	0.7763	44.022
4237	4338	6	0.8102	-0.005
631	2112	6	0.9141	67.006
705	2112	6	0.8364	17.974
1526	2112	6	0.9141	67.006
2112	2113	6	0.9774	0.000
977	1512	6	0.8441	-11.005
1197	1512	6	0.8877	-14.015
1512	4258	6	0.8734	-28.032
383	2113	6	0.8327	54.010
705	2113	6	0.8319	17.974
871	2113	6	0.8156	15.995
631	1526	6	1.0	0.000
1416	4136	6	1.0	-0.001
4136	4205	6	0.8259	44.026
234	3965	6	0.9063	0.036
2045	3965	6	0.9237	0.008
2536	3965	6	0.9272	0.008
46	2052	6	0.9409	-0.011
4178	4338	6	0.7695	-44.032
4242	4338	6	0.7745	0.000
4319	4338	6	0.7807	-44.027
784	2838	6	0.9099	-14.015
2838	4319	6	0.7676	-14.021
4178	4319	6	0.8398	-0.005
4242	4319	6	0.7688	44.027
2045	2536	6	0.9048	0.000
1416	4205	6	0.8259	44.025
234	404	6	0.9285	-25.990
4205	4258	6	0.7963	105.079
977	1197	6	0.8627	3.011
1197	4258	6	0.7968	-42.047
67	279	8	0.8252	-0.001
279	1623	8	1.0	0.000
67	1623	8	0.8252	-0.001
67	2771	8	0.8008	46.041
2290	2771	8	0.8528	0.000
11	2342	9	0.8338	-0.951
2342	4107	9	0.8995	0.000
2342	4112	9	0.8467	0.000
354	1003	9	0.9105	0.000
356	1003	9	0.9201	0.000
412	1003	9	0.9128	0.000
126	249	9	0.9465	-18.010
126	2662	9	0.8964	-18.010
126	3961	9	0.9501	0.000
11	29	9	0.9785	18.011
11	52	9	0.8541	54.032
11	188	9	0.8844	-17.026
11	283	9	0.8025	-9.984
11	308	9	0.8025	-9.977
11	1267	9	0.8541	54.021
11	3955	9	0.9736	18.011
249	3961	9	0.9039	18.010
2662	3961	9	0.8667	18.010
52	156	9	0.8304	-2.015
156	1267	9	0.8304	2.005
29	3955	9	0.9831	0.000
52	3955	9	0.917	-36.021
188	3955	9	0.859	35.037
1267	3955	9	0.915	-36.010
249	2662	9	0.9088	0.000
2662	3247	9	0.8366	18.010
4107	4112	9	0.8235	0.000
283	308	9	1.0	0.008
283	342	9	0.8579	-17.026
308	342	9	0.8579	-17.034
29	249	9	0.8679	2.016
29	52	9	0.9141	36.021
29	188	9	0.8569	-35.037
29	1267	9	0.9141	36.010
52	354	9	0.8189	-24.073
354	356	9	0.9383	-0.000
354	412	9	0.9603	-0.000
354	1267	9	0.8189	24.062
52	356	9	0.8071	-24.073
52	412	9	0.8355	-24.073
52	1267	9	1.0	-0.010
356	412	9	0.9458	0.000
412	1267	9	0.8355	24.062
356	1267	9	0.8071	24.062
958	4186	10	0.946	-0.000
1465	4186	10	0.7945	-74.019
4170	4186	10	0.7677	-74.019
4186	4207	10	0.8861	-0.000
4186	4223	10	0.7765	74.019
4186	4260	10	0.7845	-0.000
4186	4261	10	0.8239	-222.057
4186	4308	10	0.8731	-0.001
937	4004	10	0.8251	-17.027
1443	4004	10	0.7094	102.050
3069	4004	10	0.7516	88.035
4004	4200	10	0.8443	17.027
4004	4238	10	0.8297	0.000
1314	1453	10	0.7188	74.019
1314	1482	10	0.7417	74.019
1314	1490	10	0.9523	0.000
1314	1499	10	0.7551	74.019
1314	4164	10	0.7128	-222.056
1314	4173	10	0.7374	74.019
1314	4217	10	1.0	0.000
1314	4218	10	0.7507	74.019
1314	4276	10	0.7551	74.019
958	4260	10	0.7916	-0.001
4207	4260	10	0.8262	0.000
4260	4308	10	0.7798	-0.000
545	1109	10	0.8179	74.019
831	1109	10	0.9368	-17.027
937	1109	10	0.8898	-91.045
1043	1109	10	0.8191	296.075
1109	3069	10	0.8337	-14.016
1109	4162	10	0.7742	-132.006
1109	4200	10	0.9135	91.045
958	4207	10	0.8932	-0.001
4207	4221	10	0.7645	74.018
4207	4261	10	0.7927	-222.057
